edge_type_id target_query source_query weight_sigma syn_weight dynamics_params model_template weight_function delay
100 cell_line=='i4Sst' cell_line=='i4Sst' 50.0 -0.5497964249580001 i2i.json static_synapse DirectionRule_others 1.5
101 cell_line=='i4Pvalb' cell_line=='i4Sst' 50.0 -1.12014598694 i2i.json static_synapse DirectionRule_others 1.5
102 cell_line=='i4Htr3a' cell_line=='i4Sst' 50.0 -0.578256186357 i2i.json static_synapse DirectionRule_others 1.5
103 cell_line=='e4Scnn1a' cell_line=='i4Sst' 90 -0.68765067873 i2e.json static_synapse DirectionRule_others 1.5
104 cell_line=='i4Sst' cell_line=='i4Pvalb' 50.0 -1.53942998989 i2i.json static_synapse DirectionRule_others 1.2
105 cell_line=='i4Pvalb' cell_line=='i4Pvalb' 50.0 -1.5233985422299998 i2i.json static_synapse DirectionRule_others 1.6
106 cell_line=='i4Htr3a' cell_line=='i4Pvalb' 50.0 -0.45593276232 i2i.json static_synapse DirectionRule_others 1.2
107 cell_line=='e4Scnn1a' cell_line=='i4Pvalb' 90 -1.51757391167 i2e.json static_synapse DirectionRule_others 0.9
108 cell_line=='i4Sst' cell_line=='i4Htr3a' 50.0 -1.17289903991 i2i.json static_synapse DirectionRule_others 1.5
109 cell_line=='i4Pvalb' cell_line=='i4Htr3a' 50.0 -0.403252555297 i2i.json static_synapse DirectionRule_others 1.5
110 cell_line=='i4Htr3a' cell_line=='i4Htr3a' 50.0 -0.411451517215 i2i.json static_synapse DirectionRule_others 1.5
111 cell_line=='e4Scnn1a' cell_line=='i4Htr3a' 90 -0.68765067873 i2e.json static_synapse DirectionRule_others 1.5
112 cell_line=='i4Sst' cell_line=='e4Scnn1a' 90 3.38812046881 e2i.json static_synapse DirectionRule_others 1.5
113 cell_line=='i4Pvalb' cell_line=='e4Scnn1a' 90 5.23808267141 e2i.json static_synapse DirectionRule_others 1.2
114 cell_line=='i4Htr3a' cell_line=='e4Scnn1a' 90 1.02793377359 e2i.json static_synapse DirectionRule_others 1.5
115 cell_line=='e4Scnn1a' cell_line=='e4Scnn1a' 30.0 13.6872664094 e2e.json static_synapse DirectionRule_EE 1.3
